Episode,Total Reward,Epsilon,Attempts,Success
750,171,0.023297566459620722,4,1
751,137,0.023181078627322618,4,1
752,180,0.023065173234186005,5,1
753,135,0.022949847368015076,3,1
754,136,0.022835098131175,2,1
755,152,0.022720922640519125,4,1
756,169,0.02260731802731653,5,1
757,144,0.022494281437179946,3,1
758,135,0.022381810029994047,4,1
759,140,0.022269900979844076,4,1
760,138,0.022158551474944856,3,1
761,134,0.022047758717570132,3,1
762,160,0.021937519923982282,4,1
763,142,0.021827832324362372,4,1
764,162,0.02171869316274056,5,1
765,182,0.021610099696926857,5,1
766,150,0.021502049198442223,4,1
767,145,0.021394538952450012,4,1
768,184,0.02128756625768776,6,1
769,142,0.021181128426399323,4,1
770,153,0.021075222784267326,4,1
771,36,0.020969846670345987,6,0
772,139,0.020864997436994256,4,1
773,154,0.020760672449809284,4,1
774,152,0.020656869087560238,3,1
775,161,0.020553584742122436,5,1
776,149,0.020450816818411825,5,1
777,144,0.020348562734319765,3,1
778,155,0.020246819920648168,4,1
779,129,0.020145585821044927,2,1
780,170,0.020044857891939702,5,1
781,140,0.019944633602480003,4,1
782,162,0.019844910434467605,5,1
783,141,0.019745685882295267,4,1
784,146,0.01964695745288379,3,1
785,141,0.01954872266561937,3,1
786,153,0.019450979052291272,4,1
787,169,0.019353724157029815,5,1
788,136,0.019256955536244666,4,1
789,129,0.019160670758563442,3,1
790,137,0.019064867404770626,3,1
791,144,0.018969543067746772,3,1
792,162,0.018874695352408037,4,1
793,139,0.018780321875645996,4,1
794,135,0.018686420266267767,4,1
795,150,0.018592988164936427,4,1
796,131,0.018500023224111744,4,1
797,140,0.018407523107991184,3,1
798,133,0.01831548549245123,3,1
799,176,0.018223908064988973,6,1
800,163,0.018132788524664028,5,1
801,146,0.018042124582040707,5,1
802,163,0.017951913959130504,5,1
803,137,0.01786215438933485,4,1
804,148,0.017772843617388175,4,1
805,145,0.017683979399301233,4,1
806,149,0.017595559502304726,4,1
807,151,0.0175075817047932,4,1
808,131,0.017420043796269234,3,1
809,149,0.017332943577287888,4,1
810,138,0.01724627885940145,4,1
811,185,0.017160047465104442,6,1
812,82,0.01707424722777892,6,0
813,147,0.016988875991640028,3,1
814,147,0.016903931611681827,4,1
815,144,0.01681941195362342,4,1
816,154,0.016735314893855303,4,1
817,137,0.016651638319386028,3,1
818,167,0.0165683801277891,5,1
819,176,0.016485538227150154,6,1
